Continent;Region;Abbreviation
Asia;South Asia;AF
Europe;South East Europe;AL
Africa;Northern Africa;DZ
Oceania;Pacific;AS
Europe;South West Europe;AD
Africa;Southern Africa;AO
Americas;West Indies;AI
Americas;West Indies;AG
Americas;South America;AR
Asia;South West Asia;AM
Americas;West Indies;AW
Oceania;Pacific;AU
Europe;Central Europe;AT
Asia;South West Asia;AZ
Americas;West Indies;BS
Asia;South West Asia;BH
Asia;South Asia;BD
Americas;West Indies;BB
Europe;Eastern Europe;BY
Europe;Western Europe;BE
Americas;Central America;BZ
Africa;Western Africa;BJ
Americas;West Indies;BM
Asia;South Asia;BT
Americas;South America;BO
Europe;South East Europe;BA
Africa;Southern Africa;BW
Americas;South America;BR
Americas;West Indies;VG
Asia;South East Asia;BN
Europe;South East Europe;BG
Africa;Western Africa;BF
Africa;Central Africa;BI
Asia;South East Asia;KH
Africa;Western Africa;CM
Americas;North America;CA
Africa;Western Africa;CV
Americas;West Indies;KY
Africa;Central Africa;CF
Africa;Central Africa;TD
Americas;South America;CL
Asia;East Asia;CN
Asia;South East Asia;CX
Asia;South East Asia;CC
Americas;South America;CO
Africa;Indian Ocean;KM
Africa;Central Africa;CG
Oceania;Pacific;CK
Americas;Central America;CR
Africa;Western Africa;CI
Europe;South East Europe;HR
Americas;West Indies;CU
Asia;South West Asia;CY
Europe;Central Europe;CZ
Europe;Northern Europe;DK
Africa;Eastern Africa;DJ
Americas;West Indies;DM
Americas;West Indies;DO
Americas;South America;EC
Africa;Northern Africa;EG
Americas;Central America;SV
Africa;Western Africa;GQ
Africa;Eastern Africa;ER
Europe;Eastern Europe;EE
Africa;Eastern Africa;ET
Americas;South America;FK
Europe;Northern Europe;FO
Oceania;Pacific;FJ
Europe;Northern Europe;FI
Europe;Western Europe;FR
Americas;South America;GF
Oceania;Pacific;PF
Africa;Western Africa;GA
Africa;Western Africa;GM
Asia;South West Asia;GE
Europe;Western Europe;DE
Africa;Western Africa;GH
Europe;South West Europe;GI
Europe;South East Europe;GR
Americas;North America;GL
Americas;West Indies;GD
Americas;West Indies;GP
Oceania;Pacific;GU
Americas;Central America;GT
Europe;Western Europe;--
Africa;Western Africa;GN
Africa;Western Africa;GW
Americas;South America;GY
Americas;West Indies;HT
Europe;Southern Europe;VA
Americas;Central America;HN
Europe;Central Europe;HU
Europe;Northern Europe;IS
Asia;South Asia;IN
Asia;South East Asia;ID
Asia;South West Asia;IR
Asia;South West Asia;IQ
Europe;Western Europe;IE
Asia;South West Asia;IL
Europe;Southern Europe;IT
Americas;West Indies;JM
Europe;Northern Europe;--
Asia;East Asia;JP
Europe;Western Europe;--
Asia;South West Asia;JO
Asia;Central Asia;KZ
Africa;Eastern Africa;KE
Oceania;Pacific;KI
Asia;East Asia;KP
Asia;East Asia;KR
Asia;South West Asia;KW
Asia;Central Asia;KG
Asia;South East Asia;LA
Europe;Eastern Europe;LV
Asia;South West Asia;LB
Africa;Southern Africa;LS
Africa;Western Africa;LR
Africa;Northern Africa;LY
Europe;Central Europe;LI
Europe;Eastern Europe;LT
Europe;Western Europe;LU
Europe;South East Europe;MK
Africa;Indian Ocean;MG
Africa;Southern Africa;MW
Asia;South East Asia;MY
Asia;South Asia;MV
Africa;Western Africa;ML
Europe;Southern Europe;MT
Europe;Western Europe;--
Oceania;Pacific;MH
Americas;West Indies;MQ
Africa;Western Africa;MR
Africa;Indian Ocean;MU
Africa;Indian Ocean;YT
Americas;Central America;MX
Oceania;Pacific;FM
Europe;Eastern Europe;MD
Europe;Western Europe;MC
Asia;Northern Asia;MN
Americas;West Indies;MS
Africa;Northern Africa;MA
Africa;Southern Africa;MZ
Asia;South East Asia;MM
Africa;Southern Africa;NA
Oceania;Pacific;NR
Asia;South Asia;NP
Europe;Western Europe;NL
Americas;West Indies;AN
Oceania;Pacific;NC
Oceania;Pacific;NZ
Americas;Central America;NI
Africa;Western Africa;NE
Africa;Western Africa;NG
Oceania;Pacific;NU
Oceania;Pacific;NF
Oceania;Pacific;MP
Europe;Northern Europe;NO
Asia;South West Asia;OM
Asia;South Asia;PK
Oceania;Pacific;PW
Asia;South West Asia;--
Americas;Central America;PA
Oceania;Pacific;PG
Americas;South America;PY
Americas;South America;PE
Asia;South East Asia;PH
Oceania;Pacific;PN
Europe;Eastern Europe;PL
Europe;South West Europe;PT
Americas;West Indies;PR
Asia;South West Asia;QA
Africa;Indian Ocean;RE
Europe;South East Europe;RO
Asia;Northern Asia;RU
Africa;Central Africa;RW
Americas;West Indies;KN
Americas;West Indies;LC
Americas;North America;PM
Americas;West Indies;VC
Europe;Southern Europe;SM
Africa;Western Africa;ST
Asia;South West Asia;SA
Africa;Western Africa;SN
Europe;South East Europe;--
Africa;Indian Ocean;SC
Africa;Western Africa;SL
Asia;South East Asia;SG
Europe;Central Europe;SK
Europe;South East Europe;SI
Oceania;Pacific;SB
Africa;Eastern Africa;SO
Africa;Southern Africa;ZA
Europe;South West Europe;ES
Asia;South Asia;LK
Africa;Northern Africa;SD
Americas;South America;SR
Europe;Northern Europe;SJ
Africa;Southern Africa;SZ
Europe;Northern Europe;SE
Europe;Central Europe;CH
Asia;South West Asia;SY
Asia;East Asia;TW
Asia;Central Asia;TJ
Africa;Eastern Africa;TZ
Asia;South East Asia;TH
Africa;Western Africa;TG
Oceania;Pacific;TK
Oceania;Pacific;TO
Americas;West Indies;TT
Africa;Northern Africa;TN
Asia;South West Asia;TR
Asia;Central Asia;TM
Americas;West Indies;TC
Oceania;Pacific;TV
Africa;Eastern Africa;UG
Europe;Eastern Europe;UA
Asia;South West Asia;AE
Europe;Western Europe;GB
Americas;North America;US
Americas;South America;UY
Asia;Central Asia;UZ
Oceania;Pacific;VU
Americas;South America;VE
Asia;South East Asia;VN
Americas;West Indies;VI
Oceania;Pacific;WF
Africa;Northern Africa;EH
Oceania;Pacific;WS
Asia;South West Asia;YE
Africa;Central Africa;ZR
Africa;Southern Africa;ZM
Africa;Southern Africa;ZW
